report,report_short,cohort,level,aggregation,feature_set,model,split,auc_macro_ovr,early_vs_advanced_auc,t1_t2_auc,t2_t3_auc,t3_t4_auc
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,hybrid,dino_top128_plus_clinical_anatomic,extra_trees,val,0.7803896898441353,0.8756993006993007,0.6766666666666666,0.7973856209150325,0.6984831668516464
dinov3_t2t3_expert_calibrated_continue_20260518_152542_topk24_128,T2/T3 expert,Test,patient,—,,,test,0.7801983551360978,0.869333968405176,0.6532212885154062,0.7158304498269896,0.8121264548600188
dinov3_t2t3_expert_calibrated_eval,t2t3 expert calibrated eval,Test,patient,—,,,test,0.7801945151488345,0.8692347384297849,0.653968253968254,0.7158304498269896,0.8121264548600188
dinov3_t2t3_expert_calibrated_eval_final_trainval,T2/T3 expert (final),Test,patient,—,,,test,0.7801945151488345,0.8692347384297849,0.653968253968254,0.7158304498269896,0.8121264548600188
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,top2_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800783167782361,0.8632867132867134,0.69,0.7908496732026145,0.7121716611172771
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,top2_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800783167782361,0.8632867132867134,0.69,0.7908496732026145,0.7121716611172771
dinov3_framelevel_scalar_train_eval_rerun_20260516_check,Frame · Prospective (rerun),Prospective full,patient,top2_advanced,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800783167782361,0.8632867132867134,0.69,0.7908496732026145,0.7121716611172771
dinov3_rich_scalar_trainset_eval_topk,Rich scalar · Prospective,Prospective full,patient,—,clinical_anatomic,extra_trees,test_prospective_full,0.7800526673998871,0.8664364531237596,0.6541549953314659,0.7081891580161476,0.8116939289084617
dinov3_self_discovery_scalar_trainset_eval,self discovery scalar trains,Prospective full,patient,—,clinical_anatomic,extra_trees,test_prospective_full,0.7800526673998871,0.8664364531237596,0.6541549953314659,0.7081891580161476,0.8116939289084617
dinov3_framelevel_scalar_external_eval,Frame+agg · External,External,patient,hybrid,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800503934746373,0.8711538461538462,0.6749999999999999,0.7908496732026145,0.6966333703292638
dinov3_framelevel_scalar_train_eval,Frame+agg · Prospective,Prospective full,patient,hybrid,dino_rich_scalar_plus_clinical_anatomic,extra_trees,val,0.7800503934746373,0.8711538461538462,0.6749999999999999,0.7908496732026145,0.6966333703292638
