script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
run_time_frame_agg_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_gate_experts_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_ood_gate_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_t34_geometry_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_time_tabpfn_engine_20260820.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_tnm_frozen_n_probe_20260814.py,current,analysis,5,scripts,scripts/current,yes,true,
run_typed_expert_tstage_20260816.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
run_unet2d_segmentation_baseline.py,current,segmentation,2,scripts,scripts/current,yes,true,
run_video_tstaging_frozen_test.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
run_yolo_detection_eval.py,current,detection,1,scripts,scripts/current,review_paths,false,
run_yolo_detection_train.py,current,detection,1,scripts,scripts/current,review_paths,false,
sam2_video_tracker.py,runtime,module,,scripts,scripts/runtime,import_only,false,
score_binary_multicenter_unseen.py,current,analysis,3,scripts,scripts/current,yes,true,
score_binary_segmentation_folder.py,current,segmentation,2,scripts,scripts/current,review_paths,false,
score_reader_session_export.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
score_zml_binary_models.py,runtime,module,,scripts,scripts/runtime,import_only,true,
score_zml_reader_v150_frozen_20260827.py,current,analysis,3,scripts,scripts/current,review_paths,false,
score_zml_tstage_accboost2_20260826.py,legacy,unknown,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
select_ai_favorable_reader_subset.py,runtime,module,,scripts,scripts/runtime,import_only,true,
select_reader_study_subset.py,runtime,module,,scripts,scripts/runtime,import_only,true,
select_stable_clean_agent_candidate.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
serve_dino_segmentation.py,runtime,module,,scripts,scripts/runtime,import_only,true,
serve_interactive_sam_agent.py,runtime,module,,scripts,scripts/runtime,import_only,true,
serve_lumen_detection.py,runtime,module,,scripts,scripts/runtime,import_only,true,
serve_nninteractive_agent.py,runtime,module,,scripts,scripts/runtime,import_only,false,
serve_nninteractive_server.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
serve_reader_analyze.py,runtime,module,,scripts,scripts/runtime,import_only,true,
serve_sam31_static.py,runtime,module,,scripts,scripts/runtime,import_only,true,
setup_aliyun_sam_tunnel.sh,utility,shell,7,scripts,scripts/analysis,review,false,
setup_collaborator_access.sh,utility,shell,7,scripts,scripts/analysis,review,false,
smoke_reader_round2_research_contract.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
smoke_test_tstagenet_s1_lumen.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
start_gastric_workstation.sh,utility,shell,7,scripts,scripts/analysis,review,false,
stats_tnm_t_association_20260814.py,current,analysis,5,scripts,scripts/current,yes,true,
summarize_dinov3_mlp_runs.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
summarize_external_dataset_taxonomy.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
summarize_static_prompt_mainline.py,runtime,module,,scripts,scripts/runtime,import_only,true,
supplement_tstaging_physical.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
sweep_reader_study_v150_models.py,runtime,module,,scripts,scripts/runtime,import_only,true,
sync_2025_raw_videos_to_dataset.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
sync_gastricus_ledger.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
sync_project_logic_result_figures.py,runtime,module,,scripts,scripts/runtime,import_only,true,
sync_remote_reader_study.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
t_stage_evidence_gate.py,runtime,module,,scripts,scripts/runtime,import_only,false,
temporary_public_next_proxy.py,unknown,unknown,,scripts,needs_review,review,false,needs manual review
test_lan_full_stack.sh,utility,shell,7,scripts,scripts/analysis,review,false,
test_similar_case_cards.py,utility,utility,6,scripts,scripts/analysis,review,true,
test_wall_lesion_aware_cluster.py,current,analysis,4,scripts,scripts/current,yes,true,
tnm_nm_label_map.py,current,data_governance,3,scripts,scripts/current,review_paths,false,
train_accuracy_weighted_late_fusion.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_adapter_dinov3_case_rag_from_cache.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_boundary_aware_case_retriever.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_breakthrough_direction_refiner.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_chinese_report_semantic_branch.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_clean_agent_model_zoo.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_clean_boundary_expert.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_dino_region_attention_mil.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_dinov3_anatomic_adapter.py,current,analysis,,scripts,scripts/current,yes,true,
train_dinov3_roi_lora_mlp.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_dinov3_roi_lora_seg.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_domain_ratio_weighted_clean_agent.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_framelevel_clip_dino_topk_clean.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_gastric_agent_late_fusion.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_gc_us_tscore_shallow_ordinal_v1.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
train_hierarchical_accuracy_clean.py,legacy,legacy,,scripts,scripts/legacy,no,false,hardcoded paths or README §7
train_keyframe_scorer.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_learned_dino_case_rag.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_offline_pathology_alignment.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_patient_level_clip_dino_clean.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_prospective_like_weighted_clean_agent.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_t2_rescue_branch.py,runtime,module,,scripts,scripts/runtime,import_only,true,
train_t_stage.py,current,analysis,3,scripts,scripts/current,yes,true,
train_tstage_ordinal_setmil_20260827.py,unknown,data_governance,3,scripts,needs_review,review,true,needs manual review
train_wall_layer_t123_expert.py,runtime,module,,scripts,scripts/runtime,import_only,true,
tstaging_lab_audit_clinical.py,current,data_governance,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate_deep_side.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate_maskroi_clinical.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate_roi25.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate_roi25_mask.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_evaluate_roi50.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_monitor.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_new_experiment.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_plot.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_prepare.py,current,data_governance,3,scripts,scripts/current,yes,true,
tstaging_lab_register.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train_deep_side.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train_maskroi_clinical.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train_roi25.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train_roi25_mask.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_train_roi50.py,current,analysis,3,scripts,scripts/current,yes,true,
tstaging_lab_verify.py,current,data_governance,3,scripts,scripts/current,yes,true,
update_concepts_pipeline.py,analysis,analysis,5,scripts,scripts/analysis,review_env,false,
validate_reader_round2_gate.py,unknown,unknown,9,scripts,needs_review,review,true,needs manual review
verify_dinov3_setup.py,maintenance,governance,,scripts,scripts/maintenance,yes,false,
verify_patient_split_leakage.py,maintenance,governance,3,scripts,scripts/maintenance,yes,false,
verify_repo_paths.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
visualize_all_reader_scores.py,runtime,module,,scripts,scripts/runtime,import_only,true,
visualize_local_junction_continuity.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
visualize_overlays.py,analysis,analysis,4,scripts,scripts/analysis,review_env,false,
visualize_wall_layer_profiles.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
visualize_wall_strip_examples.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
viz_cine_min_remain_6cases_20260814.py,runtime,module,,scripts,scripts/runtime,import_only,true,
viz_gc_us_boundary_spicule_assoc_20260815.py,analysis,analysis,4,scripts,scripts/analysis,review_env,true,
viz_gc_us_margin_pixel_examples.py,runtime,module,,scripts,scripts/runtime,import_only,true,
viz_gc_us_wall_layer_examples.py,runtime,module,,scripts,scripts/runtime,import_only,true,
viz_static_lesion_assist_6cases_20260814.py,runtime,module,,scripts,scripts/runtime,import_only,true,
viz_static_wall_dash_6cases_20260814.py,current,visualization,5,scripts,scripts/current,yes,true,
