script,status,task,readme_section,owner_workspace,move_candidate,safe_to_run,uses_project_root,notes
inspect_excel.py,legacy,legacy,7,scripts,scripts/legacy,no,false,hardcoded paths or README §7
install_gastric_user_services.sh,utility,shell,7,scripts,scripts/analysis,review,false,
inventory_tnm_nm_labels_20260814.py,current,analysis,5,scripts,scripts/current,yes,true,
join_reader_v150_to_task_datasets.py,current,data_governance,3,scripts,scripts/current,yes,true,
link_videos.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
make_screening_funnel_figure.py,runtime,module,,scripts,scripts/runtime,import_only,true,
make_segmentation_example_panels.py,unknown,segmentation,2,scripts,needs_review,review,false,needs manual review
mark_legacy_scripts.py,legacy,legacy,,scripts,scripts/legacy,no,true,hardcoded paths or README §7
medical_agent_evolution_shadow.py,runtime,module,,scripts,scripts/runtime,import_only,false,
merge_clinical_features.py,unknown,data_governance,3,scripts,needs_review,review,false,needs manual review
migrate_center_folder_names.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_data_zips.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_legacy_raw_dirs.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_mainline_figures.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_repo_layout.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_root_assets.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
migrate_root_dataset_assets.py,maintenance,governance,,scripts,scripts/maintenance,yes,true,
mine_preop_report_deep_cues.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
organize_dataset_clinical_tables.py,current,data_governance,3,scripts,scripts/current,yes,true,
pack_gastricus_experiments.py,runtime,module,9,scripts,scripts/runtime,import_only,true,
pack_wall_layer_fixture_v1.py,current,analysis,4,scripts,scripts/current,yes,true,
package_project_logic_bundle.py,unknown,unknown,,scripts,needs_review,review,true,needs manual review
